S1,S2,L,test_case,solution_type,solution,element_lengths,message
2.0,10.125,14.25,Valid solution using geometric progression exists. S1 < S2,geometric progression,"[1.5, 3]","[3.0, 4.5, 6.75]",
10.125,2.0,14.25,Valid solution using geometric progression exists. S1 > S2,geometric progression,"[1.5, 3]","[6.75, 4.5, 3.0]",
2.0,3.0,10.0,No valid geometric progression solution. Arithmetic progression should be used. S1 < S2,arithmetic progression,"[0.2, 4]","[2.2, 2.4, 2.6, 2.8]",
3.0,2.0,10.0,No valid geometric progression solution. Arithmetic progression should be used. S1 > S2,arithmetic progression,"[0.2, 4]","[2.8, 2.6, 2.4, 2.2]",
2.0,3.0,4.0,Invalid gap length,,[],[],Gap length must be greater than the sum of S1 and S2. Input parameters: S1=2.0 S2=3.0 L=4.0
-3.0,-10.0,20.0,Invalid S1 and S2,,[],[],S1 and S2 must not be equal and must be greater than 0. Input parameters: S1=-3.0 S2=-10.0 L=20.0
3.0,3.0,10.0,Invalid S1 and S2,,[],[],S1 and S2 must not be equal and must be greater than 0. Input parameters: S1=3.0 S2=3.0 L=10.0
5.0,8.0,30.0,No valid geometric progression solution. Arithmetic progression should be used. S1 < S2,arithmetic progression,"[0.6, 4]","[5.6, 6.2, 6.8, 7.4]",
2.5,3.5,7.0,Non-integer sizes,arithmetic progression,"[0.33, 2]","[2.83, 3.16]",
1.5,4.5,19.5,Non-integer sizes and gap length,arithmetic progression,"[0.43, 6]","[1.93, 2.36, 2.79, 3.22, 3.65, 4.08]",
2.0,3.0,5.1,Minimal gap length,arithmetic progression,"[0.33, 2]","[2.33, 2.66]",
